Sequence,Comparator,Full_min_BPP,Full_max_BPP,Comparator_min_BPP,Comparator_max_BPP,overlap,common_low_BPP,common_high_BPP,Full_points_inside_common_interval,Comparator_points_inside_common_interval,two_points_each_inside_interval
HoneyBee,Baseline,0.1908236233903547,0.2993157552083332,0.0155628872153199,0.0273617311328526,False,,,0,0,False
HoneyBee,No_AdaptiveQuant,0.1908236233903547,0.2993157552083332,0.1940762976344229,0.3575409447312845,True,0.1940762976344229,0.2993157552083332,2,2,True
HoneyBee,No_CBAM,0.1908236233903547,0.2993157552083332,0.1297214655778045,0.3083756477136181,True,0.1908236233903547,0.2993157552083332,3,1,False
Bosphorous,Baseline,0.0153324114167641,0.5089596229835792,0.004670539665308,0.0091562947716732,False,,,0,0,False
Bosphorous,No_AdaptiveQuant,0.0153324114167641,0.5089596229835792,0.0399871323981893,0.4970095898349589,True,0.0399871323981893,0.4970095898349589,1,3,False
Bosphorous,No_CBAM,0.0153324114167641,0.5089596229835792,0.0135626221029356,0.5202892837210447,True,0.0153324114167641,0.5089596229835792,3,1,False
YachtRide,Baseline,0.0173245605029196,0.0264381222195095,0.0047140809020157,0.0058030093363773,False,,,0,0,False
YachtRide,No_AdaptiveQuant,0.0173245605029196,0.0264381222195095,0.0584546862472722,0.27119860704838,False,,,0,0,False
YachtRide,No_CBAM,0.0173245605029196,0.0264381222195095,0.0141164905941535,0.4771844111313055,True,0.0173245605029196,0.0264381222195095,3,0,False
