Sequence,Comparator,lambda_rate,Full_minus_comparator_BPP,Full_minus_comparator_PSNR,Full_minus_comparator_SSIM,Full_minus_comparator_MS-SSIM,Full_minus_comparator_LPIPS,Full_minus_comparator_DISTS,Full_minus_comparator_MSE
HoneyBee,Baseline,0.0018,0.2719540240754806,3.372991264178303,0.013822600245475547,0.021628116567929623,-0.03144579678773879,-0.011751917004585201,-0.0007515605345058
HoneyBee,Baseline,0.0067,0.2232422173347003,3.3116069818422034,0.014871101578076806,0.021701384584109196,-0.030821135888496998,-0.010792267322540301,-0.000750868054456
HoneyBee,Baseline,0.025,0.1752607361750348,3.6885153898980647,0.01645449399948118,0.028124537070592148,-0.039401191969712604,-0.010518545905749,-0.000986901516444
HoneyBee,No_AdaptiveQuant,0.0018,-0.058225189522951304,-0.1386519913955908,-0.001109655698140477,-0.0008699715137482356,0.0022218896696965112,0.001462453603744602,2.00202688575e-05
HoneyBee,No_AdaptiveQuant,0.0067,-0.0306513472820015,0.5834052530133427,0.004002532362938016,0.005127216378847832,-0.012129402657349811,-0.005942607919375099,-9.406307459960007e-05
HoneyBee,No_AdaptiveQuant,0.025,-0.003252674244068221,0.00888249180884415,0.000401932001113936,0.0004250586032867876,-0.0014727248499790957,0.002596010764439903,-1.4308587802999836e-06
HoneyBee,No_CBAM,0.0018,-0.009059892505284883,-0.337035367617716,-0.0024090349674226186,-0.0024380246798200167,0.006146276742219903,0.0019741435845693003,4.7824813130599984e-05
HoneyBee,No_CBAM,0.0067,-0.004439213034547501,-0.0672715745634811,0.0013115753730139623,0.0006284773349763961,0.0010317629824082991,-9.354849656419834e-05,9.87024783779991e-06
HoneyBee,No_CBAM,0.025,0.061102157812550184,-0.18846147323650442,3.291269143412823e-05,-0.0012008269627890034,0.006355738764007801,0.0047212560971577056,3.0951383329699995e-05
Bosphorous,Baseline,0.0018,0.49980332821190604,6.169534291001089,0.27536158661047627,0.24464947084585842,-0.09815557698408761,-0.2728661725918452,-0.0053685138894555996
Bosphorous,Baseline,0.0067,0.1255613426074631,2.5194546847089043,0.12586735486984246,0.13088720440864565,-0.009457833071549793,-0.07694832980632782,-0.0037879136856645004
Bosphorous,Baseline,0.025,0.010661871751456099,-2.5381361524855848,-0.03995827237765004,-0.04710823496182759,0.03229658653338757,0.1785848955313365,0.007373701129108701
Bosphorous,No_AdaptiveQuant,0.0018,0.01195003314862031,-0.8685217913556933,-0.015652831395467026,-0.018345213929812032,0.030691431959470106,0.036644335587819404,0.00030990501400079994
Bosphorous,No_AdaptiveQuant,0.0067,0.0026497280293532044,0.9972381969260198,0.04032724797725673,0.03685658574104311,-0.027036966880162605,-0.025508139530817597,-0.0012428415240719002
Bosphorous,No_AdaptiveQuant,0.025,-0.024654720981425203,-0.019354702534059243,-0.0003665904204050996,-0.00046013096968333667,0.00498098284006121,0.0027535170316695945,7.419409230360191e-05
Bosphorous,No_CBAM,0.0018,-0.011329660737465441,-0.8732282890393606,-0.010933759808540389,-0.01202274560928318,0.023305558164914475,0.019990961750348396,0.00031143967450280013
Bosphorous,No_CBAM,0.0067,-0.3132788577138643,-4.393899643675663,-0.1687304824590683,-0.1412616014480591,0.09191265950600302,0.2328569908936819,0.0030668663928130994
Bosphorous,No_CBAM,0.025,0.0017697893138285004,-0.06469641178424013,-0.0037088821331660027,-0.0030344337224960105,0.003088012834390086,0.04955796202023821,0.0002469118374090022
YachtRide,Baseline,0.0018,0.0206652529379468,4.110310532808889,0.03508514861265827,0.0276368816693624,-0.01657761136690783,0.025065496563911438,-0.037258871085941794
YachtRide,Baseline,0.0067,0.011521551166542302,1.5378274406664385,0.00983368754386893,0.014951483408609967,0.018320777515570374,0.06061109999815628,-0.0077588426880539005
YachtRide,Baseline,0.025,0.0139449712207518,-0.18870845074618003,0.004828297098477763,0.00046176711718237673,0.057749934991200735,0.11254039704799645,0.00043912560989459865
YachtRide,No_AdaptiveQuant,0.0018,-0.2447604848288705,-5.333591502082751,-0.27100115617116294,-0.26709017654260003,0.052016583581765474,0.289986569682757,0.0169111908723911
YachtRide,No_AdaptiveQuant,0.0067,-0.1239835002569505,0.9181207176516359,0.005612305303414611,0.00876724769671755,-0.031564794480800684,-0.028053708871205618,-0.004275953055669898
YachtRide,No_AdaptiveQuant,0.025,-0.0397956341245047,0.5575033022772065,0.029439112544059787,0.02060550202925998,0.028361688057581547,0.04206079840660093,-0.0037795670330524993
YachtRide,No_CBAM,0.0018,-0.0354576960120182,-1.2737075109653908,-0.004572662711143427,-0.010414182146390338,-0.017843783895174714,-0.033465159932772326,0.005826909436533901
YachtRide,No_CBAM,0.0067,-0.4598598506283859,-7.273458593233681,-0.3860516607761385,-0.3682789027690888,0.14141764988501865,0.4483573367198309,0.014395299359845602
YachtRide,No_CBAM,0.025,0.004542561528614,-2.224587332259718,-0.009094083309173606,-0.018662986656030056,0.05119706888993586,0.024624962608019496,0.0105035093768189
