Sequence,variant,lambda_rate,seed,BPP,PSNR,SSIM,MS-SSIM,LPIPS,DISTS,MSE,summary_source
Bosphorous,No_AdaptiveQuant,0.025,42,0.0399871323981893,17.80510807756072,0.6073324422041575,0.5977043122053146,0.428655148545901,0.6780980080366135,0.016581843762348,uploaded_results\bosphorous_gpu1_noadaptive_nocbam_20260715_093238\atic_clean_results\bosphorous_gpu1_noadaptive_nocbam_20260715_093238\summary_metrics.csv
Bosphorous,No_CBAM,0.0018,42,0.5202892837210447,28.54386799653124,0.9508675595124564,0.9263798803091048,0.2638267124692598,0.156227758526802,0.001398482080549,uploaded_results\bosphorous_gpu1_noadaptive_nocbam_20260715_093238\atic_clean_results\bosphorous_gpu1_noadaptive_nocbam_20260715_093238\summary_metrics.csv
Bosphorous,No_CBAM,0.0067,42,0.4441416355337136,27.56616013310867,0.9409344126780828,0.9149021824200948,0.2869531959295273,0.1849953174591064,0.0017515166682035,uploaded_results\bosphorous_gpu1_noadaptive_nocbam_20260715_093238\atic_clean_results\bosphorous_gpu1_noadaptive_nocbam_20260715_093238\summary_metrics.csv
Bosphorous,No_CBAM,0.025,42,0.0135626221029356,17.850449786810902,0.6106747339169184,0.6002786149581273,0.4305481185515721,0.6312935630480448,0.0164091260172426,uploaded_results\bosphorous_gpu1_noadaptive_nocbam_20260715_093238\atic_clean_results\bosphorous_gpu1_noadaptive_nocbam_20260715_093238\summary_metrics.csv
YachtRide,Baseline,0.0018,42,0.0057728692815627,12.148539448032814,0.4764945397774378,0.4799852152665456,0.5018927410244942,0.5869025876124699,0.0611278160785635,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu0_baseline_full_20260715_172242\summary_metrics.csv
YachtRide,Baseline,0.0067,42,0.0058030093363773,15.981520113569731,0.506525472799937,0.4983714759349823,0.4757235536972681,0.568357382218043,0.0254712914737562,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu0_baseline_full_20260715_172242\summary_metrics.csv
YachtRide,Baseline,0.025,42,0.0047140809020157,15.990755995499631,0.5039834668238957,0.5037934685746829,0.4788644999265671,0.5369433641433716,0.0258592994262774,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu0_baseline_full_20260715_172242\summary_metrics.csv
YachtRide,Full_ATIC,0.0018,42,0.0264381222195095,16.258849980841703,0.511579688390096,0.507622096935908,0.4853151296575864,0.6119680841763814,0.0238689449926217,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu0_baseline_full_20260715_172242\summary_metrics.csv
YachtRide,Full_ATIC,0.0067,42,0.0173245605029196,17.51934755423617,0.5163591603438059,0.5133229593435923,0.4940443312128385,0.6289684822161993,0.0177124487857023,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu0_baseline_full_20260715_172242\summary_metrics.csv
YachtRide,Full_ATIC,0.025,42,0.0186590521227675,15.802047544753451,0.5088117639223735,0.5042552356918653,0.5366144349177678,0.6494837611913681,0.026298425036172,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu0_baseline_full_20260715_172242\summary_metrics.csv
YachtRide,No_AdaptiveQuant,0.0018,42,0.27119860704838,21.592441482924453,0.782580844561259,0.774712273478508,0.4332985460758209,0.3219815144936244,0.0069577541202306,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu1_noadaptive_nocbam_20260715_172256\summary_metrics.csv
YachtRide,No_AdaptiveQuant,0.0067,42,0.1413080607598701,16.601226836584534,0.5107468550403913,0.5045557116468747,0.5256091256936392,0.6570221910874049,0.0219884018413722,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu1_noadaptive_nocbam_20260715_172256\summary_metrics.csv
YachtRide,No_AdaptiveQuant,0.025,42,0.0584546862472722,15.244544242476245,0.4793726513783137,0.4836497336626053,0.5082527468601863,0.6074229627847672,0.0300779920692245,uploaded_results\yachtride_noadaptive_lam0025_recovery\atic_clean_results\yachtride_gpu1_noadaptive_lam0025_recovery_20260715_234532\summary_metrics.csv
YachtRide,No_CBAM,0.0018,42,0.0618958182315277,17.532557491807093,0.5161523511012395,0.5180362790822983,0.5031589135527611,0.6454332441091537,0.0180420355560878,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu1_noadaptive_nocbam_20260715_172256\summary_metrics.csv
YachtRide,No_CBAM,0.0067,42,0.4771844111313055,24.79280614746985,0.9024108211199444,0.8816018621126811,0.3526266813278198,0.1806111454963684,0.0033171494258567,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu1_noadaptive_nocbam_20260715_172256\summary_metrics.csv
YachtRide,No_CBAM,0.025,42,0.0141164905941535,18.02663487701317,0.5179058472315471,0.5229182223478953,0.485417366027832,0.6248587985833486,0.0157949156593531,uploaded_results\yachtride_complete_results\atic_clean_results\yachtride_gpu1_noadaptive_nocbam_20260715_172256\summary_metrics.csv
