Sequence,metric,variant,lambda_rate,BPP,metric_value,on_internal_pareto_frontier
HoneyBee,MSE,Baseline,0.0067,0.0224722620881633,0.0014059509364111,True
HoneyBee,MSE,Baseline,0.025,0.0155628872153199,0.0017234224302228,True
HoneyBee,MSE,Full_ATIC,0.0018,0.2993157552083332,0.0006388881398985,True
HoneyBee,MSE,Full_ATIC,0.0067,0.2457144794228636,0.0006550828819551,True
HoneyBee,MSE,Full_ATIC,0.025,0.1908236233903547,0.0007365209137788,False
HoneyBee,MSE,No_AdaptiveQuant,0.0018,0.3575409447312845,0.000618867871041,False
HoneyBee,MSE,No_AdaptiveQuant,0.0067,0.2763658267048651,0.0007491459565547,False
HoneyBee,MSE,No_AdaptiveQuant,0.025,0.1940762976344229,0.0007379517725591,False
HoneyBee,MSE,No_CBAM,0.0018,0.3083756477136181,0.0005910633267679,True
HoneyBee,MSE,No_CBAM,0.0067,0.2501536924574111,0.0006452126341173,True
HoneyBee,MSE,No_CBAM,0.025,0.1297214655778045,0.0007055695304491,True
Bosphorous,PSNR,Baseline,0.0018,0.0091562947716732,21.50110541649079,True
Bosphorous,PSNR,Baseline,0.0067,0.0053014352123862,20.652805804724103,True
Bosphorous,PSNR,Baseline,0.025,0.004670539665308,20.323889527512247,True
Bosphorous,PSNR,Full_ATIC,0.0018,0.5089596229835792,27.67063970749188,False
Bosphorous,PSNR,Full_ATIC,0.0067,0.1308627778198493,23.172260489433008,True
Bosphorous,PSNR,Full_ATIC,0.025,0.0153324114167641,17.785753375026662,False
Bosphorous,PSNR,No_AdaptiveQuant,0.0018,0.4970095898349589,28.539161498847573,True
Bosphorous,PSNR,No_AdaptiveQuant,0.0067,0.1282130497904961,22.175022292506988,True
Bosphorous,PSNR,No_AdaptiveQuant,0.025,0.0399871323981893,17.80510807756072,False
Bosphorous,PSNR,No_CBAM,0.0018,0.5202892837210447,28.54386799653124,True
Bosphorous,PSNR,No_CBAM,0.0067,0.4441416355337136,27.56616013310867,True
Bosphorous,PSNR,No_CBAM,0.025,0.0135626221029356,17.850449786810902,False
Bosphorous,SSIM,Baseline,0.0018,0.0091562947716732,0.6645722130934397,True
Bosphorous,SSIM,Baseline,0.0067,0.0053014352123862,0.646336575349172,False
Bosphorous,SSIM,Baseline,0.025,0.004670539665308,0.6469241241614024,True
Bosphorous,SSIM,Full_ATIC,0.0018,0.5089596229835792,0.939933799703916,False
Bosphorous,SSIM,Full_ATIC,0.0067,0.1308627778198493,0.7722039302190145,True
Bosphorous,SSIM,Full_ATIC,0.025,0.0153324114167641,0.6069658517837524,False
Bosphorous,SSIM,No_AdaptiveQuant,0.0018,0.4970095898349589,0.955586631099383,True
Bosphorous,SSIM,No_AdaptiveQuant,0.0067,0.1282130497904961,0.7318766822417577,True
Bosphorous,SSIM,No_AdaptiveQuant,0.025,0.0399871323981893,0.6073324422041575,False
Bosphorous,SSIM,No_CBAM,0.0018,0.5202892837210447,0.9508675595124564,False
Bosphorous,SSIM,No_CBAM,0.0067,0.4441416355337136,0.9409344126780828,True
Bosphorous,SSIM,No_CBAM,0.025,0.0135626221029356,0.6106747339169184,False
Bosphorous,MS-SSIM,Baseline,0.0018,0.0091562947716732,0.6697076638539632,True
Bosphorous,MS-SSIM,Baseline,0.0067,0.0053014352123862,0.64275337656339,False
Bosphorous,MS-SSIM,Baseline,0.025,0.004670539665308,0.6443524161974589,True
Bosphorous,MS-SSIM,Full_ATIC,0.0018,0.5089596229835792,0.9143571346998216,False
Bosphorous,MS-SSIM,Full_ATIC,0.0067,0.1308627778198493,0.7736405809720357,True
Bosphorous,MS-SSIM,Full_ATIC,0.025,0.0153324114167641,0.5972441812356313,False
Bosphorous,MS-SSIM,No_AdaptiveQuant,0.0018,0.4970095898349589,0.9327023486296336,True
Bosphorous,MS-SSIM,No_AdaptiveQuant,0.0067,0.1282130497904961,0.7367839952309926,True
Bosphorous,MS-SSIM,No_AdaptiveQuant,0.025,0.0399871323981893,0.5977043122053146,False
Bosphorous,MS-SSIM,No_CBAM,0.0018,0.5202892837210447,0.9263798803091048,False
